source,target,weight
43395385,53561793,1
9088200,49261032,1
47520522,490100,1
35844924,84587021,2
342108,33683915,1
9222916,69025752,2
9088200,38235592,1
41314232,42682171,1
39149654,42682171,1
72793502,69025752,1
25595965,81997637,1
44325515,69025752,1
41314232,89973818,1
33921727,42682171,1
58877532,53561793,2
91020018,53561793,2
65985091,89940910,1
25228788,53561793,3
20485953,74311497,1
15282821,30896234,1
20485953,53561793,1
9596347,33683915,1
43643990,69825136,1
4574317,40165791,1
81741925,53838471,1
15697392,95355134,1
8544497,95026042,1
45111496,11637265,1
10302670,53561793,2
41683089,33683915,1
41683089,22567149,1
39306352,84587021,2
68004481,22567149,1
22386838,84587021,2
2537771,33683915,1
13167671,84587021,2
40677005,84587021,2
99991538,53561793,3
49100692,7583109,1
49100692,53561793,3
58197994,69025752,1
95135529,89973818,2
77378678,22567149,1
5967920,53561793,2
54153353,64532837,1
65992026,53561793,4
77026967,246824,3
70561506,53561793,1
97619140,69025752,2
46792983,33683915,1
47617802,53561793,2
45162623,53561793,3
62478455,97498399,1
71257091,7583109,1
11829676,53561793,3
71257091,53561793,1
71549075,27435853,1
15896377,36709807,1
90856652,88393877,1
22512723,52397645,1
57235422,53884327,1
2629374,93125806,1
24038010,5153506,1
38928361,76145372,1
25740977,15896377,1
73706213,88393877,1
42266725,65116894,1
60705670,97154015,1
52070123,65116894,1
95391479,60544073,1
929188,88393877,1
80604597,49261032,2
58232435,65116894,1
95391479,97154015,1
60705670,55053041,1
65905331,10721637,4
83450716,17877010,1
86208999,88393877,1
31138716,24363402,1
70937311,5153506,1
33896133,65116894,1
87432494,95026042,2
87870947,2485695,2
48829426,71712043,1
87870947,32704320,1
9140182,45305600,1
13344908,55762359,1
69975670,44498069,1
69975670,9663742,1
25699946,53884327,1
71665720,65116894,1
86298302,55762359,1
86298302,53884327,1
44290916,15101714,1
86298302,18783091,1
95135529,55053041,1
86298302,95391479,2
95391479,13635546,1
22497957,36709807,3
86298302,8227373,1
70800600,71712043,1
86298302,56742651,1
78585257,15896377,1
45111496,55053041,1
89750836,55053041,1
13344908,55053041,1
57972593,55053041,1
86298302,55053041,1
57972593,9663742,1
67277306,15896377,1
19912370,29467702,1
1160370,5153506,2
62340911,5153506,2
45734118,22821148,1
60544073,56742651,1
31056902,29696191,1
79719301,246824,3
2923658,53101272,1
2923658,93756900,1
67670413,72173705,1
20974474,22567149,1
72936386,72173705,3
86800243,53838471,1
39406266,8330773,1
52074560,21739649,1
94401983,38235592,1
67869209,48804666,1
68626587,60192806,2
23915872,53561793,1
86212210,55012119,3
52313887,97382002,5
35644872,22947403,1
